,assay_id,target_id,protein_path,ligand_path,label,type
0,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b6/rank1.sdf,0,B
1,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b7/rank1.sdf,0,B
2,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b8/rank1.sdf,0,B
3,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b9/rank1.sdf,0,B
4,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b10/rank1.sdf,0,B
5,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b11/rank1.sdf,0,B
6,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b12/rank1.sdf,0,B
7,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b13/rank1.sdf,0,B
8,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b14/rank1.sdf,0,B
9,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b15/rank1.sdf,0,B
10,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b16/rank1.sdf,0,B
11,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b17/rank1.sdf,0,B
12,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b18/rank1.sdf,0,B
13,CHEMBL1000314,P14222,/home/alon.kitin/docking_cfom/data/proteins/pdbs/P14222.pdb,/home/alon.kitin/docking_cfom/data/CHEMBL1000314/docks/b19/rank1.sdf,0,B
